Discipline,Course_Name,Instructor_Name,Institute_Name,Course_URL
Aerospace Engineering,NOC:Introduction To Launch Vehicle Analysis And Design,Prof. Ashok Joshi,IIT Bombay,https://nptel.ac.in/courses/101101086
Aerospace Engineering,NOC:Lighter Than Air Systems,Prof. Rajkumar Pant,IIT Bombay,https://nptel.ac.in/courses/101101087
Aerospace Engineering,NOC:Air Transportation: An Overview,Prof. Rajkumar Sureshchandra Pant,IIT Bombay,https://nptel.ac.in/courses/101101805
Aerospace Engineering,NOC:Engineering Thermodynamics,Prof. D.P. Mishra,IIT Kanpur,https://nptel.ac.in/courses/101104063
Aerospace Engineering,NOC:Introduction To Ancient Indian Technology,Prof. D.P. Mishra,IIT Kanpur,https://nptel.ac.in/courses/101104065
Aerospace Engineering,NOC:Introduction To Experiments In Flight,Prof. A.K.Ghosh,IIT Kanpur,https://nptel.ac.in/courses/101104066
Aerospace Engineering,NOC:Engineering Thermodynamics,Prof. Jayant K. Singh,IIT Kanpur,https://nptel.ac.in/courses/101104067
Aerospace Engineering,NOC:Aircraft Design,Prof. A.K.Ghosh,IIT Kanpur,https://nptel.ac.in/courses/101104069
Aerospace Engineering,NOC:Computational Science In Engineering,Prof. Ashok De,IIT Kanpur,https://nptel.ac.in/courses/101104086
Aerospace Engineering,NOC:Introduction To Aircraft Control System,Prof. Dipak Kumar Giri,IIT Kanpur,https://nptel.ac.in/courses/101104330
Aerospace Engineering,NOC:Advanced Aircraft Control Systems With MATLAB/SIMULINK,"Prof. Dipak Kumar Giri, Prof. Prabhjeet Singh",IIT Kanpur,https://nptel.ac.in/courses/101104545
Aerospace Engineering,NOC:Wind Energy,Prof. Ashoke De,IIT Kanpur,https://nptel.ac.in/courses/101104546
Aerospace Engineering,NOC:Computational Gas Dynamics,"Prof. Niranjan Sahoo, Prof. Rajesh Ranjan",IIT Kanpur IIT Guwahati,https://nptel.ac.in/courses/101104806
Aerospace Engineering,NOC:Aeromechanics Of Unmanned Aerial Vehicles / Drones,Prof.Abhishek,IIT Kanpur,https://nptel.ac.in/courses/101104807
Aerospace Engineering,NOC:Fluid Mechanics,Prof. Sanjay Mittal,IIT Kanpur,https://nptel.ac.in/courses/101104808
Aerospace Engineering,NOC:Fundamentals Of Theoretical And Experimental Aerodynamics,Prof. Arnab Roy,IIT Kharagpur,https://nptel.ac.in/courses/101105088
Aerospace Engineering,NOC:Aeroengine Gas Turbine Cycles,Prof. Chetankumar Sureshbhai Mistry,IIT Kharagpur,https://nptel.ac.in/courses/101105091
Aerospace Engineering,NOC:Combustion Of Solid Fuels And Propellants,Prof. Srinibas Karmakar,IIT Kharagpur,https://nptel.ac.in/courses/101105331
Aerospace Engineering,NOC:Aerospace Structural Analysis,Prof. Mira Mitra,IIT Kharagpur,https://nptel.ac.in/courses/101105332
Aerospace Engineering,NOC:Fundamentals Of Supersonic And Hypersonic Flow,Prof. Arnab Roy,IIT Kharagpur,https://nptel.ac.in/courses/101105333
Aerospace Engineering,NOC:Gasdynamics: Fundamentals And Applications,Prof. Srisha Rao M V,IISc Bangalore,https://nptel.ac.in/courses/101108086
Aerospace Engineering,Introduction To Aerospace Propulsion,"Prof. A M Pradeep , Prof. Bhaskar Roy",IIT Bombay,https://nptel.ac.in/courses/101101001
Aerospace Engineering,Jet Aircraft Propulsion,"Prof. A M Pradeep , Prof. Bhaskar Roy",IIT Bombay,https://nptel.ac.in/courses/101101002
Aerospace Engineering,Turbomachinery Aerodynamics,"Prof. A M Pradeep , Prof. Bhaskar Roy",IIT Bombay,https://nptel.ac.in/courses/101101058
Aerospace Engineering,NOC:Introduction To Aerospace Engineering,Prof. Rajkumar S. Pant,IIT Bombay,https://nptel.ac.in/courses/101101079
Aerospace Engineering,NOC:Introduction To Aircraft Design,Prof. Rajkumar S. Pant,IIT Bombay,https://nptel.ac.in/courses/101101083
Aerospace Engineering,NOC:Elements Of Mechanical Vibration,Prof. Ashish K Darpe,IIT Delhi,https://nptel.ac.in/courses/101102090
Aerospace Engineering,Hypersonic Aerodynamics,"Dr. N. Sahoo, Dr. Vinayak Kulkarni",IIT Guwahati,https://nptel.ac.in/courses/101103003
Aerospace Engineering,Principles Of Fluid Dynamics,"Dr. N. Sahoo, Dr. Vinayak Kulkarni",IIT Guwahati,https://nptel.ac.in/courses/101103004
Aerospace Engineering,Aero Elasticity,Prof. C. Venkatesan,IIT Kanpur,https://nptel.ac.in/courses/101104005
Aerospace Engineering,"Aircraft Performance, Stability And Control With Experiments In Flight","Dr. A.K. Ghosh, Dr. Deepu Philip, Mr.Yogendra Singh",IIT Kanpur,https://nptel.ac.in/courses/101104007
Aerospace Engineering,Composite Materials And Structures,Dr. P.M. Mohite,IIT Kanpur,https://nptel.ac.in/courses/101104010
Aerospace Engineering,Foundation Of Scientific Computing,Prof. Tapan K. Sengupta,IIT Kanpur,https://nptel.ac.in/courses/101104013
Aerospace Engineering,Fundamentals Of Combustion,Dr. D.P. Mishra,IIT Kanpur,https://nptel.ac.in/courses/101104014
Aerospace Engineering,Instability And Transition Of Fluid Flows,Prof. Tapan K. Sengupta,IIT Kanpur,https://nptel.ac.in/courses/101104015
Aerospace Engineering,Introduction To Helicopter Aerodynamics And Dynamics,"Prof. A.R. Manjunath, Prof. C. Venkatesan",IIT Kanpur,https://nptel.ac.in/courses/101104017
Aerospace Engineering,NOC:Introduction To Propulsion,Prof. D. P. Mishra,IIT Kanpur,https://nptel.ac.in/courses/101104018
Aerospace Engineering,Jet And Rocket Propulsion,Dr. A. Kushari,IIT Kanpur,https://nptel.ac.in/courses/101104019
Aerospace Engineering,NOC:Introduction To Airplane Performance,Prof. A K Ghosh,IIT Kanpur,https://nptel.ac.in/courses/101104061
Aerospace Engineering,NOC:Aircraft Stability And Control,Prof. A K Ghosh,IIT Kanpur,https://nptel.ac.in/courses/101104062
Aerospace Engineering,NOC:Aircraft Dynamic Stability & Design Stability Augmentation System,Prof. A. K. Ghosh,IIT Kanpur,https://nptel.ac.in/courses/101104064
Aerospace Engineering,NOC:Fundamentals Of Combustion - I,Prof . D. P. Mishra,IIT Kanpur,https://nptel.ac.in/courses/101104070
